祥;xiáng;TƯỜNG;"lành; cát lợi; tốt lành";""
灿;càn;XÁN;"xán lạn; rực rỡ; chói mắt";""
痕;hén;NGÂN;"vết; vết tích; ngấn";""
略;lüè;LƯỢC;"kế sách; mưu lược; Bản tóm tắt";""
敬;jìng;KÍNH;"tôn kính; kính trọng; chuyên chú";""
苑;yuàn;UYỂN;"vườn; vườn thú; vườn ngự uyển (của vua chúa)";""
迅速;xùnsù;TẤN TỐC;"cấp tốc; nhanh chóng; tật tốc; lanh; phăm phắp; lẹ làng; phắt phắt; phăn phắt";""
壶;hú;HỒ;"ấm; bình; hũ";""
暮;mù;MỘ;"buổi chiều tối";""
棒;bàng;BỔNG;"gậy; thỏi; khoẻ";""
宽;kuān;KHOAN;"rộng rãi";""
稍;shāo;SAO;"hơi; sơ qua";""
抬;tái;ĐÀI;"bế; giơ lên; đưa lên";""
轴;zhóu;TRỤC;"cái trục; trục (xe, bánh xe); trục (máy móc)";""
甩;shuǎi;SÚY;"vung; vẫy; phất";""
仔;zǎi;TỂ;"chàng trai; thằng nhóc; nam thanh niên (từ địa phương chỉ chàng trai còn trẻ); con trai; con; nhỏ; non (động vật)";""
摊;tān;THAN;"mở ra; bày ra; trải ra; chia; phân bổ; phân chia; tráng (trứng, bánh); rơi vào; gặp phải (thường chỉ việc không vừa ý)";""
牢;láo;LAO;"chuồng";""
残;cán;TÀN;"thiếu; khiếm khuyết; tàn; phế";""
概;gài;KHÁI;"chung; cốt; đại thể; tổng thể; toàn thể; thần sắc; khí khái; khí phách; cảnh; cảnh tượng";""
哑;yǎ;Á;"câm; khàn; khản giọng";""
诸;zhū;CHƯ.GIA;"nhiều; đông";""
眶;kuàng;KHUÔNG;"tròng; tròng mắt; hố mắt; hốc mắt";""
执;zhí;CHẤP;"cầm, giữ; thi hành, thực hiện";""
伏;fú;PHỤC;"dựa; nằm; nép; tép; khom; phủ phục; hạ; giảm; xuống; xuống thấp; nấp; phục; ẩn náu; chịu; nhận; khuất phục; cúi đầu thừa nhận; úp mặt; úp sấp; nằm sấp; hàng phục; chinh phục; làm khuất phục";""
席;xí;TỊCH;"chiếu; cái chiếu; ghế ngồi; chỗ ngồi; ghế đại biểu (hội nghị); bàn tiệc; cỗ; tiệc; họ Tịch";""
疆;jiāng;CƯƠNG;"biên giới; biên cương; biên thuỳ; ranh giới; giới hạn; Tân Cương";""
凌;líng;LĂNG;"xâm phạm; xúc phạm; bắt nạt; hiếp đáp; lấn; gần; sát; lên cao; lên không trung";""
谓;wèi;VỊ;"nói; bảo; xưng hô; gọi là";""
怪;guài;QUÁI;"kỳ quái; quái dị; quái đản; quái lạ; ngạc nhiên (thắc mắc về cái gì đó)";""
丑;chǒu;SỬU;"xấu, xấu xí; dễ ghét, xấu xa, đáng khinh";""
幻;huàn;HUYỄN;"biến hoá kỳ ảo; biến hoá khôn lường";""
减;jiǎn;GIẢM;"giảm; trừ; vơi; giảm bớt; kém";""
飘;piāo;PHIÊU;"tung bay; lung lay; phất phơ; thoảng đưa; lay động (theo chiều gió)";""
莺;yīng;OANH;"chim oanh";""
寂;jì;TỊCH;"yên lặng; yên tĩnh; vắng vẻ; buồn tẻ; cô đơn; cô quạnh; tịch";""
悔;huǐ;HỐI.HỔI;"hối hận; ân hận; ăn năn";""
淹;yān;YÊM;"chìm; ngập; nhớp nháp; dính dính; ướt ướt; rịn; dính ướt";""
瞬;shùn;THUẤN;"nháy mắt; chớp mắt";""
熄;xī;TỨC;"tắt";""
阵;zhèn;TRẬN;"trận (từ dùng trong chiến thuật, chỉ hàng lối hoặc phương thức bố trí quân lính tác chiến); trận địa; mặt trận; họ Trận";""
摔;shuāi;SUẤT;"ngã; té (cơ thể); rơi; rơi vỡ; ném; đập; đánh";""
稳;wěn;ỔN;"vững; ổn định; vững vàng; vững chắc (không lung lay, không thay đổi); thận trọng; cẩn trọng; ổn định; bình tĩnh; chắc; ổn thỏa; chắc chắn; thích đáng; đáng tin cậy; yên bình; ổn định";""
侃;kǎn;KHẢN;"cương trực; ngay thẳng; hòa nhã; vui vẻ";""
距;jù;CỰ;"cự ly; khoảng cách; cựa gà; cựa";""
